transformer_id,bus0,bus1,voltage_bus0,voltage_bus1,s_nom,geometry,center_lat,center_lon,csgm_full_name,csgm_eic_code,csgm_tso,n_parallel,s_nom_csgm,reactance_x_csgm,match_distance_km,fuzzy_score,match_quality,s_nom_ml,reactance_x_ml,s_nom_baseline,s_nom_estimated,s_nom_source,reactance_x_estimated,reactance_x_source
t15571,3952,3953,220.0,380.0,2000.0,"LINESTRING(1.86767600000001 48.744418, 1.86767600000001 48.744418)",48.744418,1.86767600000001,TR 400/225kV 761 YVELINES-OUEST,17T000000015900Z,RTE,1,1249.2,43.1,7.25,50.0,good,575.9451425086282,29.80921324570052,1494.45,1249.2,csgm,43.1,csgm
t15572,3959,3960,220.0,380.0,2000.0,"LINESTRING(2.01324500000001 48.05789, 2.01324500000001 48.05789)",48.05789,2.01324500000001,TR 400/225kV 761 DAMBRON | TR 400/225kV 761 MAZURES | TR 400/225kV 762 MAZURES | TR 400/225kV 763 MAZURES,17T0000000147051 | 17T0000000143196 | 17T000000014320L | 17T000000014321J,RTE,4,3772.5,13.071,12.3,50.0,fair,3083.14602242256,14.924233339925177,1494.45,3772.5,csgm,13.071,csgm
t15573,3967,3968,220.0,380.0,2000.0,"LINESTRING(2.268677 48.632909, 2.268677 48.632909)",48.632909,2.268677,TR 400/225kV 761 VILLEJUST | TR 400/225kV 762 VILLEJUST | TR 400/225kV 763 VILLEJUST | TR 400/225kV 764 VILLEJUST | TR 400/225kV 765 VILLEJUST | TR 400/225kV 766 VILLEJUST | TR 400/225kV 761 CIROLLIERS | TR 400/225kV 762 CIROLLIERS | TR 400/225kV 763 CIROLLIERS,17T000000014449U | 17T0000000144508 | 17T0000000144516 | 17T0000000144524 | 17T0000000144532 | 17T000000016051C | 17T000000014215I | 17T000000014216G | 17T000000014217E,RTE,9,11242.8,4.903,5.97,50.0,good,6618.000013016229,13.587441515335028,1494.45,11242.8,csgm,4.903,csgm
t15574,3970,3971,220.0,380.0,2000.0,"LINESTRING(2.3909 48.489307, 2.3909 48.489307)",48.489307,2.3909,,,,0,,,,,unmatched,2410.7719992674693,15.774594864761616,1494.45,2410.7719992674693,ml_predicted,15.774594864761616,ml_predicted
t15575,3975,3976,220.0,380.0,2000.0,"LINESTRING(2.70126299999999 48.877361, 2.70126299999999 48.877361)",48.877361,2.70126299999999,TR 400/225kV 762 VILLEVAUDE | TR 400/225kV 763 VILLEVAUDE | TR 400/225kV 764 VILLEVAUDE | TR 400/225kV 765  (769) VILLEVAUDE | TR 400/225kV 769 VILLEVAUDE,17T000000014457V | 17T000000014458T | 17T000000014459R | 17T0000000144605 | 17T0000000144605,RTE,5,5664.5,10.248,5.49,50.0,good,2835.6480240908218,14.39585054883539,1494.45,5664.5,csgm,10.248,csgm
t15576,3977,3978,220.0,380.0,2000.0,"LINESTRING(2.70675700000001 48.758905, 2.70675700000001 48.758905)",48.758905,2.70675700000001,TR 400/225kV 761 MORBRAS | TR 400/225kV 762 MORBRAS | TR 400/225kV 763 MORBRAS | TR 400/225kV 764 MORBRAS,17T0000000143285 | 17T0000000143293 | 17T000000014330I | 17T000000014331G,RTE,4,4996.8,11.344,6.0,50.0,good,2623.4379031790295,18.13043175376064,1494.45,4996.8,csgm,11.344,csgm
t15577,3986,3987,220.0,380.0,2000.0,"LINESTRING(1.95968600000001 47.812232, 1.95968600000001 47.812232)",47.812232,1.95968600000001,TR 400/225kV 761 CHAINGY | TR 400/225kV 762 CHAINGY,17T000000014617Z | 17T000000014618X,RTE,2,2494.2,22.474,16.08,50.0,fair,1279.7901841728772,16.713284112903633,1494.45,2494.2,csgm,22.474,csgm
t15578,3991,3992,220.0,380.0,2000.0,"LINESTRING(2.628479 47.769791, 2.628479 47.769791)",47.769791,2.628479,TR 400/225kV 761 TABARDERIE | TR 400/225kV 762 TABARDERIE | TR 400/225kV 761 CHESNOY (LE) | TR 400/225kV 762 CHESNOY (LE) | TR 400/225kV 763 CHESNOY (LE),17T000000015732U | 17T000000015733S | 17T000000014210S | 17T000000014211Q | 17T000000016084Y,RTE,5,4400.3,10.27,8.16,50.0,good,2065.5738845342044,18.739929482919578,1494.45,4400.3,csgm,10.27,csgm
t15579,3998,3999,220.0,380.0,2000.0,"LINESTRING(0.826721000000011 46.364936, 0.826721000000011 46.364936)",46.364936,0.826721000000011,TR 400/225kV 761 VALDIVIENNE | TR 400/225kV 762 VALDIVIENNE | TR 400/225kV 761 BRAUD,17T000000015805T | 17T000000015806R | 17T000000014583Q,RTE,3,1942.0,23.063,21.7,50.0,fair,1123.4364017313796,20.671128395450243,1494.45,1942.0,csgm,23.063,csgm
t15580,4004,4005,220.0,380.0,2000.0,"LINESTRING(1.73995999999999 46.437857, 1.73995999999999 46.437857)",46.437857,1.73995999999999,TR 400/225kV 761 EGUZON | TR 400/225kV 762 EGUZON,17T000000014738N | 17T000000014739L,RTE,2,1887.3,27.054,12.09,50.0,fair,860.2313714328193,24.800648794286435,1494.45,1887.3,csgm,27.054,csgm
t15581,4006,4007,220.0,380.0,2000.0,"LINESTRING(2.44445799999999 47.037374, 2.44445799999999 47.037374)",47.037374,2.44445799999999,,,,0,,,,,unmatched,268.62689037286,22.695789594601003,1494.45,268.62689037286,ml_predicted,22.695789594601003,ml_predicted
t15582,4016,4017,220.0,380.0,2000.0,"LINESTRING(2.191772 45.270054, 2.191772 45.270054)",45.270054,2.191772,,,,0,,,,,unmatched,1955.0593901504653,21.807875782265015,1494.45,1955.0593901504653,ml_predicted,21.807875782265015,ml_predicted
t15583,4022,4023,220.0,380.0,2000.0,"LINESTRING(2.92648300000001 48.358987, 2.92648300000001 48.358987)",48.358987,2.92648300000001,,,,0,,,,,unmatched,722.4150488691745,21.224078275714284,1494.45,722.4150488691745,ml_predicted,21.224078275714284,ml_predicted
t15584,4033,4034,220.0,380.0,2000.0,"LINESTRING(4.12124599999999 48.361724, 4.12124599999999 48.361724)",48.361724,4.12124599999999,TR 400/225kV 765 CRENEY | TR 400/225kV 766 CRENEY | TR 400/225kV 768 CRENEY,17T000000014685I | 17T000000014686G | 17T000000014687E,RTE,3,2474.8,13.697,3.18,50.0,good,1088.9785862861472,18.03801576329336,1494.45,2474.8,csgm,13.697,csgm
